model,array_dim,batch_size,asram_size,wsram_size,isram_execution_time,wsram_execution_time,isram_data_moved,wsram_data_moved,asram_bandwidth,wsram_bandwidth
llama_3_70b,512x512,512,8388608,8388608,2749148.14722048,3536546.623913984,1303090183536640.0,6742729732128768.0,0.4414448548051166,1.7756464375726648
llama_3_70b,512x512,512,8388608,16777216,1852926.19251712,4053402.988314624,742271095930880.0,6742729732128768.0,0.37308222578790756,1.5492307160590357
llama_3_70b,512x512,512,8388608,25165824,1626569.9655679998,4927558.353158144,582819009003520.0,6742729732128768.0,0.33370375175374417,1.2743951393366608
llama_3_70b,512x512,512,8388608,33554432,1539505.25325312,6153557.438889984,467358837637120.0,6742729732128768.0,0.2827283862901738,1.0204920448740074
llama_3_70b,512x512,512,8388608,41943040,1528506.8654182397,7555564.2844119035,445362061967360.0,6742729732128768.0,0.27136007797649403,0.8311300357827985
llama_3_70b,512x512,512,8388608,50331648,1502391.01059072,8957571.129933825,393130352312320.0,6742729732128768.0,0.24369899000596532,0.7010445491275593
llama_3_70b,512x512,512,8388608,58720256,1491394.2585344,10359577.975455746,371136848199680.0,6742729732128768.0,0.2317617377310209,0.6061691343933574
llama_3_70b,512x512,512,8388608,67108864,1470777.32499456,11761584.820977664,329902981120000.0,6742729732128768.0,0.208900483117753,0.5339124369415136
llama_3_70b,512x512,512,8388608,75497472,1470776.23447552,13163591.666499585,329900800081920.0,6742729732128768.0,0.20889925693527642,0.4770473418773528
llama_3_70b,512x512,512,8388608,83886080,1465278.1310771198,14565598.512021504,318904593285120.0,6742729732128768.0,0.20269397363944433,0.4311293084784451
llama_3_70b,512x512,512,16777216,8388608,5498296.29444096,3536546.623913984,1303090183536640.0,6742729732128768.0,0.2207224274025583,1.7756464375726648
llama_3_70b,512x512,512,16777216,16777216,3705852.38503424,4053402.988314624,742271095930880.0,6742729732128768.0,0.18654111289395378,1.5492307160590357
llama_3_70b,512x512,512,16777216,25165824,3249474.892376746,4922103.073603584,582819009003520.0,6742729732128768.0,0.16704006584983588,1.2758075806537346
llama_3_70b,512x512,512,16777216,33554432,3073512.9483673596,6142646.879780863,467358837637120.0,6742729732128768.0,0.14161704969185496,1.022304641136481
llama_3_70b,512x512,512,16777216,41943040,3051516.1726976,7541926.085525504,445362061967360.0,6742729732128768.0,0.1359244777722512,0.8326329829875213
llama_3_70b,512x512,512,16777216,50331648,2999284.46304256,8941205.291270144,393130352312320.0,6742729732128768.0,0.12207283983446707,0.7023277298189003
llama_3_70b,512x512,512,16777216,58720256,2977290.9589299196,10340484.497014783,371136848199680.0,6742729732128768.0,0.1160948425155702,0.6072884124409632
llama_3_70b,512x512,512,16777216,67108864,2936057.09185024,11739763.702759424,329902981120000.0,6742729732128768.0,0.1046458172093582,0.5349048390630273
llama_3_70b,512x512,512,16777216,75497472,2936054.91081216,13139042.908504065,329900800081920.0,6742729732128768.0,0.10464520311543198,0.4779386487883435
llama_3_70b,512x512,512,16777216,83886080,2925058.7040153597,14538322.114248702,318904593285120.0,6742729732128768.0,0.1015374653737002,0.4319381813605534
llama_3_70b,512x512,512,25165824,8388608,8247444.44166144,3536546.623913984,1303090183536640.0,6742729732128768.0,0.14714828493503887,1.7756464375726648
